[1650, 1050]
[paragraph, [93.0, 134.0, 833.0, 36.0], shoonya_2sO42AUYFXGJS5, 5732293]
[paragraph, [93.0, 170.0, 833.0, 36.0], shoonya_2sO42AUYFXGJS5, 5732293]
[paragraph, [93.0, 206.0, 833.0, 36.0], shoonya_2sO42AUYFXGJS5, 5732293]
[paragraph, [93.0, 242.0, 833.0, 36.0], shoonya_2sO42AUYFXGJS5, 5732293]
[paragraph, [93.0, 278.0, 833.0, 36.0], shoonya_2sO42AUYFXGJS5, 5732293]
[paragraph, [95.0, 320.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [95.0, 356.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [95.0, 392.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [95.0, 428.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [95.0, 464.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [95.0, 500.0, 828.0, 36.0], shoonya_1sKXIQQYG4CHFY, 5732293]
[paragraph, [85.0, 560.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 596.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 632.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 668.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 704.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 740.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 776.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 812.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 848.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 884.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 920.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 956.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 992.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1028.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1064.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1100.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1136.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1172.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1208.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1244.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1280.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1316.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1352.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1388.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[paragraph, [85.0, 1424.0, 839.0, 36.0], shoonya_0sTYS6P3IJ3JDQ, 5732293]
[folio, [391.0, 1526.0, 140.0, 36.0], shoonya_3sM8WQQSQQTZPF, 5732293]
