[792, 612]
[folio, [210.0, 41.0, 152.0, 18.0], Gyz5saBZW-, 6496458]
[headline, [230.0, 107.0, 132.0, 25.5], -7fQqKTLKQ, 6496458]
[author, [236.0, 146.0, 121.0, 18.0], ohk8WA6PLQ, 6496458]
[paragraph, [151.0, 199.0, 259.0, 18.0], PKFrVAXVQJ, 6496458]
[paragraph, [151.0, 217.0, 259.0, 18.0], PKFrVAXVQJ, 6496458]
[paragraph, [161.0, 254.0, 278.0, 18.0], oaVZRdT1Xx, 6496458]
[paragraph, [161.0, 272.0, 278.0, 18.0], oaVZRdT1Xx, 6496458]
[paragraph, [161.0, 307.0, 270.0, 18.0], vud8fCMzjb, 6496458]
[paragraph, [161.0, 325.0, 270.0, 18.0], vud8fCMzjb, 6496458]
[paragraph, [161.0, 343.0, 270.0, 18.0], vud8fCMzjb, 6496458]
[paragraph, [163.0, 367.0, 265.0, 18.0], 7BXmLT0maD, 6496458]
[paragraph, [163.0, 385.0, 265.0, 18.0], 7BXmLT0maD, 6496458]
[paragraph, [163.0, 403.0, 265.0, 18.0], 7BXmLT0maD, 6496458]
[paragraph, [163.0, 425.0, 304.0, 18.0], qgGsWtav5Z, 6496458]
[paragraph, [163.0, 443.0, 304.0, 18.0], qgGsWtav5Z, 6496458]
[paragraph, [172.0, 478.0, 289.0, 18.0], xmcBXz7c86, 6496458]
[paragraph, [172.0, 496.0, 289.0, 18.0], xmcBXz7c86, 6496458]
[paragraph, [172.0, 514.0, 289.0, 18.0], xmcBXz7c86, 6496458]
[paragraph, [162.0, 542.0, 317.0, 18.0], xaY-92HAYG, 6496458]
[paragraph, [162.0, 560.0, 317.0, 18.0], xaY-92HAYG, 6496458]
[paragraph, [164.0, 595.0, 295.0, 18.0], f4jyNSwl8o, 6496458]
[paragraph, [164.0, 613.0, 295.0, 18.0], f4jyNSwl8o, 6496458]
[paragraph, [164.0, 631.0, 295.0, 18.0], f4jyNSwl8o, 6496458]
