[1951, 1219]
[folio, [763.0, 99.0, 227.0, 36.0], lbB7NOm9cH, 5682752]
[folio, [763.0, 135.0, 227.0, 36.0], lbB7NOm9cH, 5682752]
[paragraph, [99.0, 195.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 231.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 267.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 303.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 339.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 375.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 411.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 447.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 483.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 519.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 555.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 591.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 627.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 663.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 699.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [99.0, 735.0, 999.0, 36.0], ZVNxJTQ7d6, 5682752]
[paragraph, [211.0, 783.0, 393.0, 36.0], 8BusTCj909, 5682752]
[paragraph, [207.0, 846.0, 333.0, 36.0], ME4iQOg_ek, 5682752]
[paragraph, [129.0, 905.0, 966.0, 36.0], xgFF3eoGn6, 5682752]
[paragraph, [129.0, 941.0, 966.0, 36.0], xgFF3eoGn6, 5682752]
[paragraph, [125.0, 1021.0, 973.0, 36.0], e6dsW9P6Vb, 5682752]
[paragraph, [125.0, 1057.0, 973.0, 36.0], e6dsW9P6Vb, 5682752]
[paragraph, [125.0, 1093.0, 973.0, 36.0], e6dsW9P6Vb, 5682752]
[paragraph, [117.0, 1132.0, 983.0, 36.0], QaHS5XgTfz, 5682752]
[paragraph, [117.0, 1168.0, 983.0, 36.0], QaHS5XgTfz, 5682752]
[paragraph, [117.0, 1204.0, 983.0, 36.0], QaHS5XgTfz, 5682752]
[paragraph, [117.0, 1240.0, 983.0, 36.0], QaHS5XgTfz, 5682752]
[paragraph, [108.0, 1308.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [108.0, 1344.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [108.0, 1380.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [108.0, 1416.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [108.0, 1452.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [108.0, 1488.0, 997.0, 36.0], UBMPnExwmD, 5682752]
[paragraph, [102.0, 1545.0, 954.0, 36.0], -4eiJ52qRK, 5682752]
[paragraph, [116.0, 1598.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
[paragraph, [116.0, 1634.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
[paragraph, [116.0, 1670.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
[paragraph, [116.0, 1706.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
[paragraph, [116.0, 1742.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
[paragraph, [116.0, 1778.0, 991.0, 36.0], FL5yjWlfPw, 5682752]
