[2481, 1654]
[folio, [1192.0, 101.0, 119.0, 36.0], doi-57noCP, 5720928]
[paragraph, [159.0, 219.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 255.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 291.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 327.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 363.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 399.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 435.0, 1273.0, 36.0], kCxCKv80SM, 5720928]
[paragraph, [159.0, 477.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 513.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 549.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 585.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 621.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 657.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 693.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 729.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 765.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 801.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 837.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 873.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 909.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 945.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 981.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1017.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1053.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1089.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1125.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1161.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1197.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1233.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1269.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [159.0, 1305.0, 1281.0, 36.0], gSPu3uHtr8, 5720928]
[paragraph, [171.0, 1364.0, 1265.0, 36.0], zI-U8TzEXS, 5720928]
[paragraph, [171.0, 1400.0, 1265.0, 36.0], zI-U8TzEXS, 5720928]
[paragraph, [171.0, 1436.0, 1265.0, 36.0], zI-U8TzEXS, 5720928]
[paragraph, [171.0, 1472.0, 1265.0, 36.0], zI-U8TzEXS, 5720928]
[paragraph, [227.0, 1525.0, 913.0, 36.0], _TytaIM-rA, 5720928]
[paragraph, [165.0, 1577.0, 1263.0, 36.0], LNTTgd-rCB, 5720928]
[paragraph, [165.0, 1613.0, 1263.0, 36.0], LNTTgd-rCB, 5720928]
[paragraph, [132.0, 1676.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1712.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1748.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1784.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1820.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1856.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1892.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1928.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 1964.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 2000.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [132.0, 2036.0, 1308.0, 36.0], xDMBpcMbW-, 5720928]
[paragraph, [228.0, 2092.0, 256.0, 36.0], shoonya_1s7AIHPUUHEFDN, 5720928]
[paragraph, [225.0, 2143.0, 929.0, 36.0], shoonya_2sD6U51261RD0X, 5720928]
