[1050, 693]
[paragraph, [79.0, 121.0, 478.0, 18.0], shoonya_1sR9JIBF6XZ88A, 5702392]
[paragraph, [79.0, 139.0, 478.0, 18.0], shoonya_1sR9JIBF6XZ88A, 5702392]
[paragraph, [79.0, 159.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 177.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 195.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 213.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 231.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 249.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 267.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 285.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 303.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 321.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 339.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 357.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 375.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [79.0, 393.0, 534.0, 18.0], j5ZqItWGea, 5702392]
[paragraph, [81.0, 427.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 445.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 463.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 481.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 499.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 517.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 535.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 553.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 571.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 589.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 607.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 625.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 643.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 661.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 679.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 697.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 715.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 733.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 751.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 769.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 787.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 805.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 823.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 841.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 859.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 877.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 895.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 913.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 931.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
[paragraph, [81.0, 949.0, 535.0, 18.0], shoonya_0sXFHFIZOFWBRW, 5702392]
