[1875, 1200]
[folio, [296.0, 224.0, 733.0, 36.0], 2iuQwZOUVY, 5710500]
[paragraph, [197.0, 280.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 316.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 352.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 388.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 424.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 460.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 496.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 532.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [197.0, 568.0, 845.0, 36.0], shoonya_0sLP1ZHV022IVC, 5710500]
[paragraph, [195.0, 619.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 655.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 691.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 727.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 763.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 799.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 835.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [195.0, 871.0, 846.0, 36.0], ZNaKgUP45V, 5710500]
[paragraph, [202.0, 917.0, 826.0, 36.0], vK5Jay9qri, 5710500]
[paragraph, [202.0, 953.0, 826.0, 36.0], vK5Jay9qri, 5710500]
[paragraph, [202.0, 989.0, 826.0, 36.0], vK5Jay9qri, 5710500]
[paragraph, [202.0, 1025.0, 826.0, 36.0], vK5Jay9qri, 5710500]
[section-title, [195.0, 1091.0, 793.0, 49.5], wxjkWWt-Pi, 5710500]
[paragraph, [199.0, 1180.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1216.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1252.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1288.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1324.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1360.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1396.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1432.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1468.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1504.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
[paragraph, [199.0, 1540.0, 823.0, 36.0], FJHNPQaz8K, 5710500]
