[3300, 2550]
[paragraph, [426.0, 274.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 326.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 379.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 431.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 484.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 536.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 589.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 641.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 694.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 746.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 799.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 851.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 904.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 956.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1009.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1061.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1114.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1166.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1219.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1271.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1324.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1376.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1429.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1481.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1534.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1586.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1639.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1691.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1744.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1796.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1849.0, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
[paragraph, [426.0, 1901.5, 1852.0, 52.5], shoonya_1sTJBH95HOW1WO, 5720049]
