[2200, 1700]
[paragraph, [371.0, 115.0, 1129.0, 36.0], shoonya_2s2LHIW164OOHR, 5734365]
[paragraph, [371.0, 151.0, 1129.0, 36.0], shoonya_2s2LHIW164OOHR, 5734365]
[paragraph, [371.0, 187.0, 1129.0, 36.0], shoonya_2s2LHIW164OOHR, 5734365]
[paragraph, [371.0, 223.0, 1129.0, 36.0], shoonya_2s2LHIW164OOHR, 5734365]
[paragraph, [370.0, 301.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 337.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 373.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 409.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 445.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 481.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 517.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 553.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 589.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 625.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 661.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 697.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[paragraph, [370.0, 733.0, 1134.0, 36.0], shoonya_1sP326PIN8INMY, 5734365]
[section-title, [360.0, 817.0, 1044.0, 52.5], fWRGFfH7q3, 5734365]
[unordered-list, [417.0, 882.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 918.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 954.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 990.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1026.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1062.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1098.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1134.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1170.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1206.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1242.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1278.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1314.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1350.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1386.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1422.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1458.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1494.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1530.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1566.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1602.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1638.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1674.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1710.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1746.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1782.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1818.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1854.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1890.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1926.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1962.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
[unordered-list, [417.0, 1998.0, 1093.0, 36.0], shoonya_0s70DU8ZHMVL20, 5734365]
