[1275, 750]
[folio, [229.0, 86.0, 280.0, 18.0], shoonya_3sMRVCDX25M10L, 5767078]
[folio, [229.0, 104.0, 280.0, 18.0], shoonya_3sMRVCDX25M10L, 5767078]
[paragraph, [93.0, 161.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 179.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 197.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 215.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 233.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 251.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 269.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 287.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 305.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [93.0, 323.0, 522.0, 18.0], 8AnxbApAzi, 5767078]
[paragraph, [60.0, 366.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 384.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 402.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 420.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 438.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 456.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 474.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 492.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 510.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 528.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 546.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 564.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 582.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 600.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 618.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 636.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 654.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [60.0, 672.0, 622.0, 18.0], shoonya_1sA3BGXOW9FY37, 5767078]
[paragraph, [63.0, 715.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 733.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 751.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 769.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 787.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 805.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 823.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 841.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 859.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 877.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 895.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 913.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 931.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 949.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 967.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 985.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1003.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1021.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1039.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1057.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1075.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1093.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1111.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1129.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1147.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
[paragraph, [63.0, 1165.0, 618.0, 18.0], shoonya_0sEPOM4CE7TUKD, 5767078]
