[1755, 1241]
[folio, [181.0, 178.0, 284.0, 36.0], rYF_swYkgy, 5759982]
[paragraph, [184.0, 256.0, 864.0, 36.0], M4ipPTAg2z, 5759982]
[paragraph, [184.0, 292.0, 864.0, 36.0], M4ipPTAg2z, 5759982]
[paragraph, [187.0, 361.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 397.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 433.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 469.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 505.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 541.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 577.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [187.0, 613.0, 864.0, 36.0], IOnR4cCABI, 5759982]
[paragraph, [175.0, 683.0, 867.0, 36.0], shoonya_1s5ZLO2XR4BO7I, 5759982]
[paragraph, [175.0, 719.0, 867.0, 36.0], shoonya_1s5ZLO2XR4BO7I, 5759982]
[paragraph, [175.0, 755.0, 867.0, 36.0], shoonya_1s5ZLO2XR4BO7I, 5759982]
[paragraph, [175.0, 791.0, 867.0, 36.0], shoonya_1s5ZLO2XR4BO7I, 5759982]
[paragraph, [175.0, 827.0, 867.0, 36.0], shoonya_1s5ZLO2XR4BO7I, 5759982]
[paragraph, [172.0, 870.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 906.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 942.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 978.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1014.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1050.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1086.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1122.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1158.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1194.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1230.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [172.0, 1266.0, 867.0, 36.0], 8X3Pzkdf_b, 5759982]
[paragraph, [169.0, 1315.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1351.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1387.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1423.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1459.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1495.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
[paragraph, [169.0, 1531.0, 868.0, 36.0], shoonya_2s3YP11ET3DRXR, 5759982]
