[2339, 1656]
[paragraph, [806.0, 98.0, 652.0, 36.0], shoonya_12sTC0YCTHBKMM, 5750240]
[paragraph, [806.0, 134.0, 652.0, 36.0], shoonya_12sTC0YCTHBKMM, 5750240]
[paragraph, [806.0, 170.0, 652.0, 36.0], shoonya_12sTC0YCTHBKMM, 5750240]
[paragraph, [73.0, 103.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 139.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 175.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 211.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 247.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 283.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [73.0, 319.0, 657.0, 36.0], shoonya_13sZVB7UGHZ777, 5750240]
[paragraph, [791.0, 224.0, 700.0, 36.0], shoonya_3sCFTVT9S1XMPX, 5750240]
[paragraph, [791.0, 260.0, 700.0, 36.0], shoonya_3sCFTVT9S1XMPX, 5750240]
[paragraph, [791.0, 296.0, 700.0, 36.0], shoonya_3sCFTVT9S1XMPX, 5750240]
[paragraph, [791.0, 332.0, 700.0, 36.0], shoonya_3sCFTVT9S1XMPX, 5750240]
[paragraph, [793.0, 392.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 428.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 464.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 500.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 536.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 572.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 608.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [793.0, 644.0, 704.0, 36.0], shoonya_2sOFZY1PFPLUM9, 5750240]
[paragraph, [55.0, 398.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 434.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 470.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 506.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 542.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 578.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[paragraph, [55.0, 614.0, 687.0, 36.0], shoonya_6sMOSM30LYPXFJ, 5750240]
[reference, [527.0, 656.0, 225.0, 36.0], Gwdb5xKkIo, 5750240]
[paragraph, [801.0, 711.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 747.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 783.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 819.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 855.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 891.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 927.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 963.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
[paragraph, [801.0, 999.0, 712.0, 36.0], shoonya_0sHO9Y4OQQRUXX, 5750240]
