[1063, 680]
[paragraph, [60.0, 144.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 162.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 180.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 198.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 216.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 234.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 252.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 270.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 288.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [60.0, 306.0, 542.0, 18.0], shoonya_0sRP2XEXQEXBRT, 5739616]
[paragraph, [64.0, 341.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 359.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 377.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 395.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 413.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 431.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 449.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 467.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 485.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 503.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 521.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 539.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 557.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 575.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 593.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 611.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 629.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 647.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 665.0, 537.0, 18.0], Tl0C-xSVfp, 5739616]
[paragraph, [64.0, 697.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 715.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 733.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 751.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 769.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 787.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 805.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 823.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 841.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 859.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 877.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 895.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 913.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 931.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[paragraph, [64.0, 949.0, 543.0, 18.0], shoonya_1sF7209I35PVOU, 5739616]
[footnote, [456.0, 1016.0, 189.0, 18.0], MVo7N-ThhV, 5739616]
