[2717, 1772]
[folio, [777.0, 228.0, 208.0, 46.5], bttXUOvQkk, 5721406]
[paragraph, [191.0, 352.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 398.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 445.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 491.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 538.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 584.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 631.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 677.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 724.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 770.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 817.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 863.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 910.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 956.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1003.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1049.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1096.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1142.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1189.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1235.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1282.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1328.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1375.0, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [191.0, 1421.5, 1401.0, 46.5], shoonya_0s1WCORO1H4AF5, 5721406]
[paragraph, [190.0, 1529.0, 1399.0, 46.5], mTseUbwdjn, 5721406]
[paragraph, [190.0, 1575.5, 1399.0, 46.5], mTseUbwdjn, 5721406]
[paragraph, [194.0, 1659.0, 1395.0, 46.5], kt8BgGYR6X, 5721406]
[paragraph, [194.0, 1705.5, 1395.0, 46.5], kt8BgGYR6X, 5721406]
[paragraph, [194.0, 1752.0, 1395.0, 46.5], kt8BgGYR6X, 5721406]
[paragraph, [194.0, 1798.5, 1395.0, 46.5], kt8BgGYR6X, 5721406]
[paragraph, [192.0, 1865.0, 1397.0, 46.5], 4FS-5z-RFr, 5721406]
[paragraph, [192.0, 1911.5, 1397.0, 46.5], 4FS-5z-RFr, 5721406]
[paragraph, [192.0, 1958.0, 1397.0, 46.5], 4FS-5z-RFr, 5721406]
[paragraph, [192.0, 2004.5, 1397.0, 46.5], 4FS-5z-RFr, 5721406]
[paragraph, [192.0, 2051.0, 1397.0, 46.5], 4FS-5z-RFr, 5721406]
[paragraph, [186.0, 2118.0, 1402.0, 46.5], twPxVcs2jk, 5721406]
[paragraph, [186.0, 2164.5, 1402.0, 46.5], twPxVcs2jk, 5721406]
[paragraph, [186.0, 2244.0, 1399.0, 46.5], oSmz6bnWQD, 5721406]
[paragraph, [186.0, 2290.5, 1399.0, 46.5], oSmz6bnWQD, 5721406]
[paragraph, [186.0, 2337.0, 1399.0, 46.5], oSmz6bnWQD, 5721406]
[paragraph, [186.0, 2383.5, 1399.0, 46.5], oSmz6bnWQD, 5721406]
[paragraph, [186.0, 2430.0, 1399.0, 46.5], oSmz6bnWQD, 5721406]
