[792, 612]
[paragraph, [60.0, 51.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 69.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 87.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 105.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 123.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 141.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [60.0, 159.0, 161.0, 18.0], shoonya_3sYVFJKDUM38FQ, 6514809]
[paragraph, [390.0, 53.0, 159.0, 18.0], shoonya_7sQCLOF8HQMEXP, 6514809]
[paragraph, [390.0, 71.0, 159.0, 18.0], shoonya_7sQCLOF8HQMEXP, 6514809]
[paragraph, [390.0, 89.0, 159.0, 18.0], shoonya_7sQCLOF8HQMEXP, 6514809]
[paragraph, [390.0, 107.0, 159.0, 18.0], shoonya_7sQCLOF8HQMEXP, 6514809]
[paragraph, [226.0, 55.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [226.0, 73.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [226.0, 91.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [226.0, 109.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [226.0, 127.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [226.0, 145.0, 160.0, 18.0], shoonya_1sVD760B20WH2N, 6514809]
[paragraph, [391.0, 133.0, 160.0, 18.0], shoonya_11sS780LTYS6IR, 6514809]
[paragraph, [389.0, 161.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 179.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 197.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 215.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 233.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 251.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 269.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 287.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 305.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 323.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 341.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 359.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 377.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 395.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 413.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 431.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 449.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 467.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 485.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 503.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 521.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 539.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 557.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 575.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 593.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 611.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 629.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 647.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 665.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [389.0, 683.0, 161.0, 18.0], _dsZhi13y2, 6514809]
[paragraph, [227.0, 175.0, 159.0, 18.0], shoonya_9sPSBCFKJ81A4M, 6514809]
[paragraph, [227.0, 193.0, 159.0, 18.0], shoonya_9sPSBCFKJ81A4M, 6514809]
[paragraph, [227.0, 211.0, 159.0, 18.0], shoonya_9sPSBCFKJ81A4M, 6514809]
[paragraph, [227.0, 229.0, 159.0, 18.0], shoonya_9sPSBCFKJ81A4M, 6514809]
[paragraph, [227.0, 247.0, 159.0, 18.0], shoonya_9sPSBCFKJ81A4M, 6514809]
[paragraph, [60.0, 187.0, 161.0, 18.0], shoonya_10sELBQQLXKDI9, 6514809]
[paragraph, [60.0, 205.0, 161.0, 18.0], shoonya_10sELBQQLXKDI9, 6514809]
[paragraph, [60.0, 223.0, 161.0, 18.0], shoonya_10sELBQQLXKDI9, 6514809]
[paragraph, [60.0, 241.0, 161.0, 18.0], shoonya_10sELBQQLXKDI9, 6514809]
[paragraph, [61.0, 265.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 283.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 301.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 319.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 337.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 355.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 373.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 391.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 409.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 427.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 445.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 463.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
[paragraph, [61.0, 481.0, 160.0, 18.0], shoonya_8sMIOUS7G5NDSD, 6514809]
