[2339, 1654]
[paragraph, [188.0, 196.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [188.0, 232.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [188.0, 268.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [188.0, 304.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [188.0, 340.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [188.0, 376.0, 1159.0, 36.0], shoonya_3sNRYJK66JOIKE, 5753592]
[paragraph, [183.0, 457.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 493.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 529.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 565.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 601.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 637.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 673.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 709.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 745.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 781.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 817.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 853.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 889.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 925.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 961.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 997.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1033.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1069.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1105.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1141.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1177.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1213.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [183.0, 1249.0, 1165.0, 36.0], shoonya_0sASXHY069TK7O, 5753592]
[paragraph, [186.0, 1358.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1394.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1430.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1466.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1502.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1538.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1574.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1610.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1646.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1682.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[paragraph, [186.0, 1718.0, 1160.0, 36.0], shoonya_1sXEXEABN2LF1D, 5753592]
[reference, [171.0, 1859.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
[reference, [171.0, 1895.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
[reference, [171.0, 1931.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
[reference, [171.0, 1967.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
[reference, [171.0, 2003.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
[reference, [171.0, 2039.0, 915.0, 36.0], njEfxrzJ0x, 5753592]
