[792, 612]
[paragraph, [143.0, 144.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 162.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 180.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 198.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 216.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 234.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 252.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 270.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 288.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 306.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 324.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 342.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 360.0, 322.0, 18.0], shoonya_0sDFN1ZUBJYT7X, 6516605]
[paragraph, [143.0, 412.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 430.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 448.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 466.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 484.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 502.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [143.0, 520.0, 326.0, 18.0], ejlyuDI7bv, 6516605]
[paragraph, [144.0, 577.0, 324.0, 18.0], JnWp9tEBNl, 6516605]
[paragraph, [144.0, 595.0, 324.0, 18.0], JnWp9tEBNl, 6516605]
[paragraph, [144.0, 613.0, 324.0, 18.0], JnWp9tEBNl, 6516605]
