[842, 595]
[paragraph, [75.0, 111.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 129.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 147.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 165.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 183.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 201.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 219.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 237.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 255.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 273.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 291.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 309.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 327.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 345.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 363.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 381.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 399.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 417.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 435.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [75.0, 453.0, 219.0, 18.0], shoonya_2s5BR3FQ7OUX7T, 5740304]
[paragraph, [299.0, 114.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 132.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 150.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 168.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 186.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 204.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 222.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 240.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 258.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 276.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 294.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 312.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 330.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 348.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 366.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 384.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 402.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 420.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 438.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 456.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 474.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 492.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 510.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 528.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
[paragraph, [299.0, 546.0, 221.0, 18.0], shoonya_1s8DILIY8U0CH7, 5740304]
