[1009, 613]
[paragraph, [59.0, 59.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 77.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 95.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 113.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 131.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 149.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 167.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 185.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 203.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 221.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[paragraph, [59.0, 239.0, 486.0, 18.0], shoonya_2s1LU4PAGKJMP6, 5770908]
[ordered-list, [54.0, 277.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 295.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 313.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 331.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 349.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 367.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 385.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 403.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 421.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 439.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 457.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 475.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 493.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 511.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 529.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 547.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 565.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 583.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 601.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 619.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 637.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 655.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 673.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 691.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 709.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 727.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 745.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 763.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 781.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 799.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 817.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 835.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 853.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 871.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 889.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 907.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 925.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
[ordered-list, [54.0, 943.0, 490.0, 18.0], shoonya_0sY4QIRNXA811H, 5770908]
