[1951, 1219]
[folio, [229.0, 117.0, 196.0, 36.0], shoonya_0sKSCASZEA95JD, 5682034]
[paragraph, [110.0, 201.0, 992.0, 36.0], kB3dYNfPrd, 5682034]
[paragraph, [110.0, 237.0, 992.0, 36.0], kB3dYNfPrd, 5682034]
[paragraph, [110.0, 273.0, 992.0, 36.0], kB3dYNfPrd, 5682034]
[paragraph, [106.0, 326.0, 995.0, 36.0], xj8oo8TWub, 5682034]
[paragraph, [106.0, 362.0, 995.0, 36.0], xj8oo8TWub, 5682034]
[paragraph, [106.0, 398.0, 995.0, 36.0], xj8oo8TWub, 5682034]
[paragraph, [106.0, 434.0, 995.0, 36.0], xj8oo8TWub, 5682034]
[paragraph, [106.0, 505.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 541.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 577.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 613.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 649.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 685.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 721.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 757.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [106.0, 793.0, 994.0, 36.0], ucKMGKi_OF, 5682034]
[paragraph, [107.0, 853.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 889.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 925.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 961.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 997.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 1033.0, 992.0, 36.0], Uv0_tXif_L, 5682034]
[paragraph, [107.0, 1084.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [107.0, 1120.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [107.0, 1156.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [107.0, 1192.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [107.0, 1228.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [107.0, 1264.0, 992.0, 36.0], QpTFXE5Mfe, 5682034]
[paragraph, [109.0, 1321.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [109.0, 1357.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [109.0, 1393.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [109.0, 1429.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [109.0, 1465.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [109.0, 1501.0, 997.0, 36.0], 2CrA4zHubX, 5682034]
[paragraph, [195.0, 1556.0, 634.0, 36.0], zO4QY5yyLh, 5682034]
[paragraph, [115.0, 1613.0, 1003.0, 36.0], fFknGvkfDN, 5682034]
[paragraph, [115.0, 1649.0, 1003.0, 36.0], fFknGvkfDN, 5682034]
[paragraph, [117.0, 1727.0, 998.0, 36.0], zElPHLQwtK, 5682034]
[paragraph, [117.0, 1763.0, 998.0, 36.0], zElPHLQwtK, 5682034]
[paragraph, [117.0, 1799.0, 998.0, 36.0], zElPHLQwtK, 5682034]
