[1359, 917]
[paragraph, [59.0, 79.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 97.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 115.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 133.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 151.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 169.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 187.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 205.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 223.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 241.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 259.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 277.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 295.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 313.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 331.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 349.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 367.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 385.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 403.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 421.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 439.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 457.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 475.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 493.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 511.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 529.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[paragraph, [59.0, 547.0, 422.0, 18.0], shoonya_0sII81B1DAQ97S, 5660732]
[figure-caption, [645.0, 503.0, 164.0, 18.0], shoonya_6sP4HJD03HURBS, 5660732]
[section-title, [321.0, 582.0, 229.0, 30.0], qz8e7jdVsC, 5660732]
[paragraph, [59.0, 641.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 659.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 677.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 695.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 713.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 731.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 749.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 767.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 785.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 803.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 821.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[paragraph, [59.0, 839.0, 755.0, 18.0], shoonya_1s2O6I5KC9BJHM, 5660732]
[figure-caption, [656.0, 1156.0, 139.0, 18.0], shoonya_5sW0A72NUYITCX, 5660732]
