[1320, 1176]
[section-title, [285.0, 117.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 147.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 177.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 207.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 237.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 267.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[section-title, [285.0, 297.0, 581.0, 30.0], shoonya_0sIV88V06J9VRH, 5693972]
[author, [204.0, 365.0, 722.0, 18.0], _OvNdLzEpL, 5693972]
[author, [204.0, 383.0, 722.0, 18.0], _OvNdLzEpL, 5693972]
[contact-info, [187.0, 424.0, 121.0, 18.0], pjd8K_Ph68, 5693972]
[contact-info, [472.0, 424.0, 189.0, 18.0], GwgI2yS_Vn, 5693972]
[contact-info, [851.0, 424.0, 126.0, 18.0], QWAA6pMqcy, 5693972]
[folio, [891.0, 496.0, 92.0, 18.0], wCx4UovVFd, 5693972]
[folio, [155.0, 499.0, 67.0, 18.0], 5MlyKlMXo1, 5693972]
[sub-section-title, [190.0, 568.0, 494.0, 25.5], pjYl1CYud_, 5693972]
[paragraph, [189.0, 622.0, 847.0, 18.0], 3HQUf2_QIT, 5693972]
[paragraph, [189.0, 640.0, 847.0, 18.0], 3HQUf2_QIT, 5693972]
[paragraph, [189.0, 658.0, 847.0, 18.0], 3HQUf2_QIT, 5693972]
[answer, [189.0, 844.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[answer, [189.0, 862.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[answer, [189.0, 880.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[answer, [189.0, 898.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[answer, [189.0, 916.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[answer, [189.0, 934.0, 850.0, 18.0], O9zR2xtnq1, 5693972]
[paragraph, [186.0, 973.0, 850.0, 18.0], 3yUaL1-0BX, 5693972]
[paragraph, [186.0, 991.0, 850.0, 18.0], 3yUaL1-0BX, 5693972]
[paragraph, [186.0, 1009.0, 850.0, 18.0], 3yUaL1-0BX, 5693972]
[paragraph, [186.0, 1027.0, 850.0, 18.0], 3yUaL1-0BX, 5693972]
[paragraph, [184.0, 1061.0, 853.0, 18.0], 8t9wdii-0o, 5693972]
[paragraph, [184.0, 1079.0, 853.0, 18.0], 8t9wdii-0o, 5693972]
[paragraph, [184.0, 1097.0, 853.0, 18.0], 8t9wdii-0o, 5693972]
[paragraph, [184.0, 1115.0, 853.0, 18.0], 8t9wdii-0o, 5693972]
[paragraph, [187.0, 1154.0, 850.0, 18.0], -kGEniDvZs, 5693972]
[paragraph, [187.0, 1172.0, 850.0, 18.0], -kGEniDvZs, 5693972]
