[842, 595]
[unordered-list, [88.0, 152.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 170.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 188.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 206.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 224.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 242.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 260.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 278.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 296.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 314.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 332.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [88.0, 350.0, 320.0, 18.0], h7WBRexnFn, 5745059]
[unordered-list, [86.0, 370.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 388.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 406.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 424.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 442.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 460.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 478.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 496.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 514.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [86.0, 532.0, 144.0, 18.0], shoonya_4s44ZAKSA0ITQH, 5745059]
[unordered-list, [90.0, 560.0, 321.0, 18.0], shoonya_3s9CO840VQE3ZW, 5745059]
[unordered-list, [90.0, 578.0, 321.0, 18.0], shoonya_3s9CO840VQE3ZW, 5745059]
[unordered-list, [90.0, 596.0, 321.0, 18.0], shoonya_3s9CO840VQE3ZW, 5745059]
[unordered-list, [90.0, 614.0, 321.0, 18.0], shoonya_3s9CO840VQE3ZW, 5745059]
[unordered-list, [90.0, 632.0, 321.0, 18.0], shoonya_3s9CO840VQE3ZW, 5745059]
[footnote, [106.0, 683.0, 248.0, 18.0], _nxbOBUVR8, 5745059]
