[1818, 1374]
[folio, [638.0, 181.0, 89.0, 36.0], 8pHYJWgdEv, 5683343]
[paragraph, [117.0, 255.0, 97.0, 36.0], shoonya_0s4HPMVWPVNT3K, 5683343]
[paragraph, [696.0, 261.0, 96.0, 36.0], shoonya_8sJCQNK09GEUXV, 5683343]
[paragraph, [113.0, 296.0, 556.0, 36.0], z5PgpaX8TT, 5683343]
[paragraph, [113.0, 332.0, 556.0, 36.0], z5PgpaX8TT, 5683343]
[paragraph, [691.0, 304.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 340.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 376.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 412.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 448.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 484.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [691.0, 520.0, 562.0, 36.0], shoonya_9s4NGL1WI8CM0Y, 5683343]
[paragraph, [110.0, 378.0, 559.0, 36.0], 1LSLwMgU9Y, 5683343]
[paragraph, [110.0, 414.0, 559.0, 36.0], 1LSLwMgU9Y, 5683343]
[paragraph, [110.0, 450.0, 559.0, 36.0], 1LSLwMgU9Y, 5683343]
[paragraph, [110.0, 499.0, 560.0, 36.0], -I7y6UNe0h, 5683343]
[paragraph, [110.0, 535.0, 560.0, 36.0], -I7y6UNe0h, 5683343]
[paragraph, [110.0, 585.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 621.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 657.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 693.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 729.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 765.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 801.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 837.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 873.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 909.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 945.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 981.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 1017.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 1053.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 1089.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [110.0, 1125.0, 562.0, 36.0], jBqcTIcW7d, 5683343]
[paragraph, [695.0, 595.0, 559.0, 36.0], shoonya_1sF6DZPMEKG7TZ, 5683343]
[paragraph, [695.0, 631.0, 559.0, 36.0], shoonya_1sF6DZPMEKG7TZ, 5683343]
[paragraph, [694.0, 676.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 712.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 748.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 784.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 820.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 856.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 892.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 928.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 964.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [694.0, 1000.0, 559.0, 36.0], tc4gU8U1zE, 5683343]
[paragraph, [696.0, 1071.0, 559.0, 36.0], shoonya_2sJMVGJAH320AH, 5683343]
[paragraph, [696.0, 1107.0, 559.0, 36.0], shoonya_2sJMVGJAH320AH, 5683343]
[paragraph, [696.0, 1143.0, 559.0, 36.0], shoonya_2sJMVGJAH320AH, 5683343]
[paragraph, [696.0, 1179.0, 559.0, 36.0], shoonya_2sJMVGJAH320AH, 5683343]
[paragraph, [698.0, 1228.0, 559.0, 36.0], shoonya_3sFGUUK127EX7J, 5683343]
[paragraph, [698.0, 1264.0, 559.0, 36.0], shoonya_3sFGUUK127EX7J, 5683343]
[paragraph, [698.0, 1300.0, 559.0, 36.0], shoonya_3sFGUUK127EX7J, 5683343]
[paragraph, [698.0, 1336.0, 559.0, 36.0], shoonya_3sFGUUK127EX7J, 5683343]
[paragraph, [698.0, 1372.0, 559.0, 36.0], shoonya_3sFGUUK127EX7J, 5683343]
[paragraph, [115.0, 1341.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [115.0, 1377.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [115.0, 1413.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [115.0, 1449.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [115.0, 1485.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [115.0, 1521.0, 559.0, 36.0], shoonya_6sY96OZ4G4E7Y5, 5683343]
[paragraph, [762.0, 1428.0, 304.0, 36.0], shoonya_4sTYF2D8OSUHCE, 5683343]
[paragraph, [705.0, 1509.0, 556.0, 36.0], shoonya_5sBDV3HKOKYFBS, 5683343]
[paragraph, [705.0, 1545.0, 556.0, 36.0], shoonya_5sBDV3HKOKYFBS, 5683343]
[paragraph, [704.0, 1587.0, 556.0, 36.0], UjmllfkuNo, 5683343]
[paragraph, [704.0, 1623.0, 556.0, 36.0], UjmllfkuNo, 5683343]
[paragraph, [119.0, 1594.0, 560.0, 36.0], YHK4v4-Ly5, 5683343]
[paragraph, [119.0, 1630.0, 560.0, 36.0], YHK4v4-Ly5, 5683343]
[paragraph, [765.0, 1669.0, 495.0, 36.0], XZIvFs2-rh, 5683343]
[paragraph, [183.0, 1679.0, 495.0, 36.0], 53sQLBYWL8, 5683343]
