[3509, 2480]
[paragraph, [328.0, 394.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 446.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 499.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 551.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 604.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 656.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 709.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 761.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 814.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 866.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 919.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 971.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 1024.0, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [328.0, 1076.5, 1825.0, 52.5], shoonya_0sA8GCBVMFYU6A, 5724062]
[paragraph, [331.0, 1198.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1250.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1303.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1355.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1408.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1460.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1513.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1565.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1618.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1670.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1723.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1775.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1828.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1880.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1933.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 1985.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 2038.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 2090.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 2143.0, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 2195.5, 1817.0, 52.5], fQK7BGZNQb, 5724062]
[paragraph, [331.0, 2332.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2384.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2437.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2489.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2542.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2594.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2647.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2699.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2752.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2804.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2857.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2909.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 2962.0, 1817.0, 52.5], LTnRxIPEkt, 5724062]
[paragraph, [331.0, 3014.5, 1817.0, 52.5], LTnRxIPEkt, 5724062]
