[1650, 1275]
[section-title, [833.0, 63.0, 331.0, 49.5], DoPl-zJYiP, 5719576]
[sidebar, [133.0, 1103.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1139.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1175.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1211.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1247.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1283.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1319.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1355.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1391.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1427.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1463.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
[sidebar, [133.0, 1499.0, 389.0, 36.0], IL2_IfOBLw, 5719576]
