[1162, 749]
[folio, [314.0, 75.0, 127.0, 18.0], shoonya_3sEHZPC5JD99E6, 5699870]
[paragraph, [79.0, 119.0, 593.0, 18.0], shoonya_5sDIOZQR24QGDC, 5699870]
[paragraph, [79.0, 137.0, 593.0, 18.0], shoonya_5sDIOZQR24QGDC, 5699870]
[paragraph, [79.0, 155.0, 593.0, 18.0], shoonya_5sDIOZQR24QGDC, 5699870]
[paragraph, [77.0, 194.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 212.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 230.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 248.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 266.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 284.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 302.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 320.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 338.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 356.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [77.0, 374.0, 594.0, 18.0], shoonya_1sO5KIZMTKO2I8, 5699870]
[paragraph, [78.0, 398.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 416.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 434.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 452.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 470.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 488.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 506.0, 595.0, 18.0], shoonya_2sH0EUQRZ7NVSH, 5699870]
[paragraph, [78.0, 539.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 557.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 575.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 593.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 611.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 629.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 647.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 665.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 683.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 701.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 719.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 737.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 755.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 773.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 791.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 809.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 827.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 845.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 863.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 881.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 899.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 917.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 935.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [78.0, 953.0, 594.0, 18.0], shoonya_0sKK0RMXZACYND, 5699870]
[paragraph, [75.0, 986.0, 597.0, 18.0], U3PUa9r6KR, 5699870]
[paragraph, [75.0, 1004.0, 597.0, 18.0], U3PUa9r6KR, 5699870]
[paragraph, [75.0, 1022.0, 597.0, 18.0], U3PUa9r6KR, 5699870]
[paragraph, [75.0, 1040.0, 597.0, 18.0], U3PUa9r6KR, 5699870]
[paragraph, [75.0, 1058.0, 597.0, 18.0], U3PUa9r6KR, 5699870]
