[1298, 853]
[section-title, [345.0, 67.0, 150.0, 30.0], shoonya_4sR7CWFN0U5QRE, 5709952]
[paragraph, [50.0, 117.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 135.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 153.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 171.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 189.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 207.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [50.0, 225.0, 744.0, 18.0], shoonya_0sK7HL41MZTU2Q, 5709952]
[paragraph, [55.0, 247.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [55.0, 265.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [55.0, 283.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [55.0, 301.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [55.0, 319.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [55.0, 337.0, 740.0, 18.0], XIIBT2wngc, 5709952]
[paragraph, [53.0, 367.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 385.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 403.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 421.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 439.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 457.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 475.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 493.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 511.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 529.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 547.0, 743.0, 18.0], mD8rau95cc, 5709952]
[paragraph, [53.0, 571.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 589.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 607.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 625.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 643.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 661.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 679.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 697.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 715.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 733.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 751.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 769.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 787.0, 741.0, 18.0], LZUuDX8Dbt, 5709952]
[paragraph, [53.0, 817.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 835.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 853.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 871.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 889.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 907.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 925.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 943.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 961.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 979.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [53.0, 997.0, 741.0, 18.0], p9Kz8qERtU, 5709952]
[paragraph, [54.0, 1021.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1039.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1057.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1075.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1093.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1111.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1129.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1147.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1165.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1183.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
[paragraph, [54.0, 1201.0, 743.0, 18.0], shoonya_2sBHNT2ACRBAKD, 5709952]
