[2278, 1778]
[paragraph, [245.0, 164.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 200.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 236.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 272.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 308.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 344.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 380.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 416.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 452.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 488.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [245.0, 524.0, 1380.0, 36.0], shoonya_0sOGVBP8KBIKU3, 5757843]
[paragraph, [263.0, 1585.0, 1329.0, 36.0], shoonya_3s4VCREC2UYNVD, 5757843]
[paragraph, [263.0, 1621.0, 1329.0, 36.0], shoonya_3s4VCREC2UYNVD, 5757843]
[paragraph, [249.0, 1678.0, 1292.0, 36.0], Wx6pREWRla, 5757843]
[paragraph, [249.0, 1714.0, 1292.0, 36.0], Wx6pREWRla, 5757843]
[paragraph, [247.0, 1782.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1818.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1854.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1890.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1926.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1962.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 1998.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 2034.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[paragraph, [247.0, 2070.0, 1380.0, 36.0], shoonya_2sPR1FFBJLVBHO, 5757843]
[folio, [853.0, 2148.0, 147.0, 36.0], q7CDLF2ddl, 5757843]
