[1361, 826]
[folio, [600.0, 62.0, 118.0, 18.0], VSfLAr0XQ0, 5781596]
[folio, [600.0, 80.0, 118.0, 18.0], VSfLAr0XQ0, 5781596]
[folio, [600.0, 98.0, 118.0, 18.0], VSfLAr0XQ0, 5781596]
[figure-caption, [191.0, 128.0, 420.0, 18.0], shoonya_2sNOL8SHINTNZ4, 5781596]
[figure-caption, [201.0, 543.0, 224.0, 18.0], shoonya_4sUNA6WVAAJMDV, 5781596]
[figure-caption, [201.0, 561.0, 224.0, 18.0], shoonya_4sUNA6WVAAJMDV, 5781596]
[figure-caption, [201.0, 579.0, 224.0, 18.0], shoonya_4sUNA6WVAAJMDV, 5781596]
[figure-caption, [201.0, 597.0, 224.0, 18.0], shoonya_4sUNA6WVAAJMDV, 5781596]
[figure-caption, [501.0, 544.0, 137.0, 18.0], shoonya_5sZVMDYWSWONYH, 5781596]
[figure-caption, [501.0, 562.0, 137.0, 18.0], shoonya_5sZVMDYWSWONYH, 5781596]
[figure-caption, [501.0, 580.0, 137.0, 18.0], shoonya_5sZVMDYWSWONYH, 5781596]
[figure-caption, [134.0, 642.0, 538.0, 18.0], GlCVuz-m4o, 5781596]
[ordered-list, [83.0, 685.0, 652.0, 18.0], shoonya_1sHVUKY99LQHLU, 5781596]
[ordered-list, [83.0, 703.0, 652.0, 18.0], shoonya_1sHVUKY99LQHLU, 5781596]
[ordered-list, [83.0, 721.0, 652.0, 18.0], shoonya_1sHVUKY99LQHLU, 5781596]
[ordered-list, [83.0, 739.0, 652.0, 18.0], shoonya_1sHVUKY99LQHLU, 5781596]
[ordered-list, [83.0, 757.0, 652.0, 18.0], shoonya_1sHVUKY99LQHLU, 5781596]
[ordered-list, [74.0, 776.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 794.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 812.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 830.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 848.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 866.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 884.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 902.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 920.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 938.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 956.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 974.0, 670.0, 18.0], dedgMwGmUD, 5781596]
[ordered-list, [74.0, 992.0, 670.0, 18.0], dedgMwGmUD, 5781596]
