[2806, 1983]
[paragraph, [220.0, 229.0, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 275.5, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 322.0, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 368.5, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 415.0, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 461.5, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [220.0, 508.0, 1548.0, 46.5], shoonya_1sEBRVWW8H7X48, 5683295]
[paragraph, [218.0, 704.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 750.5, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 797.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 843.5, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 890.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 936.5, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 983.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 1029.5, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 1076.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 1122.5, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [218.0, 1169.0, 1552.0, 46.5], shoonya_2sC02EF3JFC5A7, 5683295]
[paragraph, [220.0, 1347.0, 1546.0, 46.5], shoonya_0sF0H9NTX1Z7EH, 5683295]
[paragraph, [220.0, 1393.5, 1546.0, 46.5], shoonya_0sF0H9NTX1Z7EH, 5683295]
[paragraph, [220.0, 1440.0, 1546.0, 46.5], shoonya_0sF0H9NTX1Z7EH, 5683295]
[paragraph, [212.0, 1556.0, 1532.0, 46.5], ZC24WrWaB_, 5683295]
[paragraph, [210.0, 1665.0, 1044.0, 46.5], q_FSDj7Ijc, 5683295]
[paragraph, [210.0, 1711.5, 1044.0, 46.5], q_FSDj7Ijc, 5683295]
[paragraph, [217.0, 1781.0, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 1827.5, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 1874.0, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 1920.5, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 1967.0, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 2013.5, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 2060.0, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 2106.5, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 2153.0, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
[paragraph, [217.0, 2199.5, 1539.0, 46.5], 0JaoS2U_aJ, 5683295]
