[2200, 1700]
[folio, [787.0, 398.0, 145.0, 36.0], shoonya_2sYCJSEFJKS1UG, 5732254]
[paragraph, [510.0, 495.0, 603.0, 36.0], shoonya_1sZUBBWQT2D3S0, 5732254]
[paragraph, [460.0, 558.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 594.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 630.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 666.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 702.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 738.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 774.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 810.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 846.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 882.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 918.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 954.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 990.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1026.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1062.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1098.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1134.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1170.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1206.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1242.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1278.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1314.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1350.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1386.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1422.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1458.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1494.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1530.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1566.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1602.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1638.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1674.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[paragraph, [460.0, 1710.0, 801.0, 36.0], shoonya_0sR9J3WLHZO85S, 5732254]
[footnote, [1303.0, 2034.0, 222.0, 36.0], V1sWpTTIne, 5732254]
[footnote, [1303.0, 2070.0, 222.0, 36.0], V1sWpTTIne, 5732254]
[folio, [800.0, 2106.0, 184.0, 36.0], L8xKwSjkSK, 5732254]
