[2150, 1329]
[folio, [162.0, 137.0, 197.0, 36.0], M31WbNWZYk, 5691832]
[folio, [469.0, 139.0, 456.0, 36.0], shoonya_2s769TRQSTZI4R, 5691832]
[paragraph, [360.0, 228.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 264.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 300.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 336.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 372.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 408.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 444.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 480.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 516.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 552.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 588.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 624.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 660.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 696.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 732.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 768.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 804.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [360.0, 840.0, 580.0, 36.0], shoonya_1s1VEY9PQKJBS3, 5691832]
[paragraph, [374.0, 883.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 919.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 955.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 991.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1027.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1063.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1099.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1135.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1171.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1207.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1243.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1279.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1315.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1351.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1387.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1423.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1459.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1495.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1531.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1567.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1603.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1639.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1675.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [374.0, 1711.0, 563.0, 36.0], shoonya_0sVMTTLX4V59Q9, 5691832]
[paragraph, [385.0, 1762.0, 553.0, 36.0], STwho4YyJV, 5691832]
[paragraph, [385.0, 1798.0, 553.0, 36.0], STwho4YyJV, 5691832]
[paragraph, [385.0, 1834.0, 553.0, 36.0], STwho4YyJV, 5691832]
[footnote, [219.0, 1895.0, 700.0, 36.0], 6lfPSsJvhC, 5691832]
[footnote, [219.0, 1931.0, 700.0, 36.0], 6lfPSsJvhC, 5691832]
[footnote, [219.0, 1967.0, 700.0, 36.0], 6lfPSsJvhC, 5691832]
