[1754, 1241]
[paragraph, [187.0, 105.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 141.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 177.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 213.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 249.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 285.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 321.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [187.0, 357.0, 964.0, 36.0], shoonya_0sBZHHEXHLKEL4, 5714336]
[paragraph, [195.0, 412.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 448.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 484.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 520.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 556.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 592.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 628.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 664.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 700.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 736.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 772.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 808.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 844.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 880.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 916.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 952.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 988.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1024.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1060.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1096.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1132.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1168.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1204.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1240.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1276.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1312.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1348.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1384.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1420.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
[paragraph, [195.0, 1456.0, 940.0, 36.0], shoonya_1sV20KW72T92E9, 5714336]
