[1606, 1056]
[folio, [101.0, 100.0, 241.0, 36.0], shoonya_5s7M98B5JL8XJE, 5683726]
[folio, [450.0, 103.0, 160.0, 36.0], shoonya_3sXIZQZ3327SSX, 5683726]
[section-title, [395.0, 158.0, 263.0, 49.5], shoonya_4sPVLT4ZLB90WX, 5683726]
[paragraph, [97.0, 231.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 267.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 303.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 339.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 375.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 411.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 447.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 483.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 519.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 555.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 591.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [97.0, 627.0, 861.0, 36.0], shoonya_0sJ8W0AWWHHBY2, 5683726]
[paragraph, [100.0, 689.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 725.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 761.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 797.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 833.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 869.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 905.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 941.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 977.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 1013.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 1049.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 1085.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [100.0, 1121.0, 859.0, 36.0], shoonya_1sE9L95AW27S5T, 5683726]
[paragraph, [91.0, 1189.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1225.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1261.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1297.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1333.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1369.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1405.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
[paragraph, [91.0, 1441.0, 867.0, 36.0], nz4FtjmoeH, 5683726]
