[576, 360]
[paragraph, [28.0, 63.0, 136.0, 18.0], Sbz2AQtiVQ, 6515915]
[paragraph, [22.0, 101.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 119.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 137.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 155.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 173.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 191.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 209.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 227.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 245.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 263.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 281.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 299.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 317.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 335.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 353.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 371.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 389.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 407.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 425.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 443.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 461.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
[paragraph, [22.0, 479.0, 313.0, 18.0], shoonya_0sTCBG8MMYCC1E, 6515915]
