[792, 612]
[folio, [209.0, 22.0, 229.0, 18.0], awD7E4Zxfx, 5743948]
[paragraph, [111.0, 58.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [111.0, 76.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [111.0, 94.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [111.0, 112.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [111.0, 130.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [111.0, 148.0, 425.0, 18.0], shoonya_0sCUE0BYKWVJWK, 5743948]
[paragraph, [110.0, 180.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 198.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 216.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 234.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 252.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 270.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 288.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 306.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 324.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 342.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 360.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 378.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 396.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 414.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 432.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 450.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 468.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 486.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 504.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 522.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 540.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 558.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 576.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 594.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 612.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 630.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 648.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 666.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 684.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
[paragraph, [110.0, 702.0, 424.0, 18.0], shoonya_1sIVYDBWIMFKQU, 5743948]
