[2481, 1654]
[folio, [1188.0, 107.0, 119.0, 36.0], _9FSd4I04_, 5720992]
[paragraph, [163.0, 218.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 254.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 290.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 326.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 362.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 398.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 434.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 470.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 506.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 542.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 578.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [163.0, 614.0, 1274.0, 36.0], shoonya_1s363KOO0BEHQ0, 5720992]
[paragraph, [215.0, 676.0, 787.0, 36.0], nPOi7zNbzk, 5720992]
[paragraph, [157.0, 721.0, 1281.0, 36.0], RHFA6WNnCU, 5720992]
[paragraph, [157.0, 757.0, 1281.0, 36.0], RHFA6WNnCU, 5720992]
[paragraph, [157.0, 793.0, 1281.0, 36.0], RHFA6WNnCU, 5720992]
[paragraph, [157.0, 829.0, 1281.0, 36.0], RHFA6WNnCU, 5720992]
[paragraph, [157.0, 865.0, 1281.0, 36.0], RHFA6WNnCU, 5720992]
[paragraph, [221.0, 928.0, 634.0, 36.0], BcFRqT2WkY, 5720992]
[paragraph, [159.0, 973.0, 1275.0, 36.0], fV4MxvuX-p, 5720992]
[paragraph, [159.0, 1009.0, 1275.0, 36.0], fV4MxvuX-p, 5720992]
[paragraph, [159.0, 1045.0, 1275.0, 36.0], fV4MxvuX-p, 5720992]
[paragraph, [159.0, 1081.0, 1275.0, 36.0], fV4MxvuX-p, 5720992]
[paragraph, [163.0, 1130.0, 1271.0, 36.0], WM5KFEsK5I, 5720992]
[paragraph, [163.0, 1166.0, 1271.0, 36.0], WM5KFEsK5I, 5720992]
[paragraph, [155.0, 1230.0, 1285.0, 36.0], nyB0KZzjs0, 5720992]
[paragraph, [155.0, 1266.0, 1285.0, 36.0], nyB0KZzjs0, 5720992]
[paragraph, [155.0, 1302.0, 1285.0, 36.0], nyB0KZzjs0, 5720992]
[paragraph, [155.0, 1338.0, 1285.0, 36.0], nyB0KZzjs0, 5720992]
[paragraph, [223.0, 1383.0, 1033.0, 36.0], JBDT1pLZlb, 5720992]
[paragraph, [150.0, 1434.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [150.0, 1470.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [150.0, 1506.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [150.0, 1542.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [150.0, 1578.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [150.0, 1614.0, 1292.0, 36.0], pJYy3PoiLf, 5720992]
[paragraph, [226.0, 1684.0, 710.0, 36.0], shoonya_3sP3M3D1DJYG3A, 5720992]
[paragraph, [235.0, 1737.0, 502.0, 36.0], shoonya_2sTNPNJXFU322B, 5720992]
[paragraph, [167.0, 1784.0, 1263.0, 36.0], XGoR_-pGGi, 5720992]
[paragraph, [167.0, 1820.0, 1263.0, 36.0], XGoR_-pGGi, 5720992]
[paragraph, [167.0, 1856.0, 1263.0, 36.0], XGoR_-pGGi, 5720992]
[paragraph, [167.0, 1892.0, 1263.0, 36.0], XGoR_-pGGi, 5720992]
[paragraph, [161.0, 1941.0, 1269.0, 36.0], RPRM76Shq2, 5720992]
[paragraph, [161.0, 1977.0, 1269.0, 36.0], RPRM76Shq2, 5720992]
[paragraph, [161.0, 2013.0, 1269.0, 36.0], RPRM76Shq2, 5720992]
[paragraph, [161.0, 2049.0, 1269.0, 36.0], RPRM76Shq2, 5720992]
[paragraph, [165.0, 2086.0, 1265.0, 36.0], r4pg5xjcZS, 5720992]
[paragraph, [165.0, 2122.0, 1265.0, 36.0], r4pg5xjcZS, 5720992]
