[1875, 1200]
[folio, [190.0, 214.0, 567.0, 36.0], 4BuJhDeX-Z, 5711603]
[paragraph, [161.0, 284.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 320.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 356.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 392.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 428.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 464.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 500.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 536.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 572.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 608.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 644.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 680.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 716.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 752.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 788.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 824.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 860.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [161.0, 896.0, 873.0, 36.0], CzR6JQWc-E, 5711603]
[paragraph, [155.0, 945.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 981.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1017.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1053.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1089.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1125.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1161.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1197.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1233.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1269.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1305.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1341.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1377.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1413.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1449.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [155.0, 1485.0, 891.0, 36.0], shoonya_0sT1MQC09N9U04, 5711603]
[paragraph, [149.0, 1537.0, 901.0, 36.0], qU-liDWwu7, 5711603]
[paragraph, [149.0, 1573.0, 901.0, 36.0], qU-liDWwu7, 5711603]
[paragraph, [149.0, 1609.0, 901.0, 36.0], qU-liDWwu7, 5711603]
