[681, 511]
[folio, [317.0, 25.0, 128.0, 18.0], Ym2cXLBemr, 5761865]
[reference, [16.0, 48.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 66.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 84.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 102.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 120.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 138.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 156.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 174.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 192.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 210.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 228.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 246.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 264.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 282.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 300.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 318.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 336.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 354.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 372.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 390.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
[reference, [16.0, 408.0, 456.0, 18.0], shoonya_0sE4CT662U8SX4, 5761865]
