[1200, 1650]
[section-title, [129.0, 246.0, 1520.0, 30.0], shoonya_1sUOP7EA2KW3S1, 5716152]
[section-title, [129.0, 276.0, 1520.0, 30.0], shoonya_1sUOP7EA2KW3S1, 5716152]
[section-title, [129.0, 306.0, 1520.0, 30.0], shoonya_1sUOP7EA2KW3S1, 5716152]
[section-title, [129.0, 336.0, 1520.0, 30.0], shoonya_1sUOP7EA2KW3S1, 5716152]
[section-title, [129.0, 366.0, 1520.0, 30.0], shoonya_1sUOP7EA2KW3S1, 5716152]
[sub-section-title, [520.0, 397.0, 1048.0, 25.5], R5IuA5m2pl, 5716152]
[sub-section-title, [520.0, 422.5, 1048.0, 25.5], R5IuA5m2pl, 5716152]
[sub-section-title, [520.0, 448.0, 1048.0, 25.5], R5IuA5m2pl, 5716152]
[sub-section-title, [520.0, 473.5, 1048.0, 25.5], R5IuA5m2pl, 5716152]
[contact-info, [276.0, 962.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 980.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 998.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1016.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1034.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1052.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1070.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1088.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1106.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1124.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1142.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1160.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
[contact-info, [276.0, 1178.0, 1156.0, 18.0], o8E-ts7iHK, 5716152]
