[515, 727]
[paragraph, [422.0, 57.0, 263.0, 18.0], lMdZCJBKTf, 6533575]
[paragraph, [422.0, 75.0, 263.0, 18.0], lMdZCJBKTf, 6533575]
[paragraph, [422.0, 93.0, 263.0, 18.0], lMdZCJBKTf, 6533575]
[paragraph, [422.0, 111.0, 263.0, 18.0], lMdZCJBKTf, 6533575]
[paragraph, [95.0, 63.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 81.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 99.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 117.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 135.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 153.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 171.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 189.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 207.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 225.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 243.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 261.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 279.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 297.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 315.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 333.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [95.0, 351.0, 266.0, 18.0], shoonya_0sX3KUOYCNBHIU, 6533575]
[paragraph, [453.0, 140.0, 223.0, 18.0], IHYbpQUyGV, 6533575]
[paragraph, [422.0, 172.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [422.0, 190.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [422.0, 208.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [422.0, 226.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [422.0, 244.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [422.0, 262.0, 262.0, 18.0], 2OTesYn_2p, 6533575]
[paragraph, [413.0, 303.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 321.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 339.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 357.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 375.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 393.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 411.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 429.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 447.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [413.0, 465.0, 267.0, 18.0], j5DJfhjh9_, 6533575]
[paragraph, [95.0, 383.0, 268.0, 18.0], -5yIl42aPx, 6533575]
[paragraph, [95.0, 401.0, 268.0, 18.0], -5yIl42aPx, 6533575]
[paragraph, [95.0, 419.0, 268.0, 18.0], -5yIl42aPx, 6533575]
[paragraph, [95.0, 437.0, 268.0, 18.0], -5yIl42aPx, 6533575]
[paragraph, [95.0, 455.0, 268.0, 18.0], -5yIl42aPx, 6533575]
