[3508, 2481]
[section-title, [1017.0, 99.0, 418.0, 93.0], fr-vGhnNgA, 6534689]
[paragraph, [213.0, 567.0, 322.0, 52.5], k2nob5sbk-, 6534689]
[paragraph, [213.0, 619.5, 322.0, 52.5], k2nob5sbk-, 6534689]
[paragraph, [207.0, 700.0, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [207.0, 752.5, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [207.0, 805.0, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [207.0, 857.5, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [207.0, 910.0, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [207.0, 962.5, 2071.0, 52.5], _5TeoMQIXO, 6534689]
[paragraph, [191.0, 1038.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1090.5, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1143.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1195.5, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1248.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1300.5, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1353.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1405.5, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1458.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1510.5, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[paragraph, [191.0, 1563.0, 2083.0, 52.5], shoonya_0sF41LDB5FNEI5, 6534689]
[figure-caption, [218.0, 1717.0, 335.0, 52.5], jRyVS105ZO, 6534689]
[figure-caption, [218.0, 1769.5, 335.0, 52.5], jRyVS105ZO, 6534689]
