[1418, 1063]
[paragraph, [168.0, 114.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 132.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 150.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 168.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 186.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 204.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 222.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 240.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 258.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 276.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [168.0, 294.0, 784.0, 18.0], shoonya_3sDIM7CBEK7GMJ, 6469168]
[paragraph, [169.0, 331.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 349.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 367.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 385.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 403.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 421.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 439.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 457.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 475.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 493.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 511.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 529.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 547.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 565.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 583.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 601.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 619.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 637.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 655.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 673.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
[paragraph, [169.0, 691.0, 786.0, 18.0], shoonya_1sLSNLZSFALTC6, 6469168]
