[2200, 1700]
[paragraph, [326.0, 38.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 74.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 110.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 146.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 182.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 218.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 254.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 290.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 326.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 362.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 398.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 434.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 470.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 506.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 542.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 578.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 614.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 650.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 686.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 722.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 758.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 794.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 830.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 866.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 902.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 938.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 974.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1010.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1046.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1082.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1118.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1154.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1190.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1226.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1262.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1298.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1334.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [326.0, 1370.0, 1118.0, 36.0], shoonya_1sNG9Z8YIIDG1H, 5731698]
[paragraph, [334.0, 1413.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1449.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1485.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1521.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1557.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1593.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1629.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1665.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1701.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1737.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1773.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1809.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1845.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[paragraph, [334.0, 1881.0, 1083.0, 36.0], shoonya_0s7HJII9TX9MH3, 5731698]
[folio, [335.0, 1991.0, 354.0, 36.0], XucqpeclCl, 5731698]
