[720, 504]
[paragraph, [277.0, 110.0, 176.0, 18.0], shoonya_6s0LY19V84XE1I, 5652480]
[paragraph, [277.0, 128.0, 176.0, 18.0], shoonya_6s0LY19V84XE1I, 5652480]
[paragraph, [56.0, 111.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 129.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 147.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 165.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 183.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 201.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 219.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 237.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 255.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 273.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 291.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 309.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 327.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 345.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 363.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 381.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 399.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [56.0, 417.0, 200.0, 18.0], shoonya_1s4653OB0PCVJQ, 5652480]
[paragraph, [264.0, 159.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 177.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 195.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 213.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 231.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 249.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 267.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 285.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 303.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 321.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 339.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 357.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 375.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 393.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 411.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 429.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 447.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 465.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 483.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [264.0, 501.0, 201.0, 18.0], shoonya_0s1BTOZNYAOWAD, 5652480]
[paragraph, [55.0, 436.0, 199.0, 18.0], shoonya_5s86OHJX3T118Z, 5652480]
[paragraph, [55.0, 454.0, 199.0, 18.0], shoonya_5s86OHJX3T118Z, 5652480]
[paragraph, [55.0, 472.0, 199.0, 18.0], shoonya_5s86OHJX3T118Z, 5652480]
[paragraph, [55.0, 490.0, 199.0, 18.0], shoonya_5s86OHJX3T118Z, 5652480]
[paragraph, [68.0, 522.0, 174.0, 18.0], shoonya_3s12CU4ADVTTA4, 5652480]
[paragraph, [68.0, 540.0, 174.0, 18.0], shoonya_3s12CU4ADVTTA4, 5652480]
[paragraph, [68.0, 558.0, 174.0, 18.0], shoonya_3s12CU4ADVTTA4, 5652480]
[paragraph, [68.0, 576.0, 174.0, 18.0], shoonya_3s12CU4ADVTTA4, 5652480]
[paragraph, [68.0, 594.0, 174.0, 18.0], shoonya_3s12CU4ADVTTA4, 5652480]
[paragraph, [266.0, 534.0, 199.0, 18.0], shoonya_2s462PH37IISR4, 5652480]
[paragraph, [266.0, 552.0, 199.0, 18.0], shoonya_2s462PH37IISR4, 5652480]
[paragraph, [266.0, 570.0, 199.0, 18.0], shoonya_2s462PH37IISR4, 5652480]
[paragraph, [266.0, 588.0, 199.0, 18.0], shoonya_2s462PH37IISR4, 5652480]
[footnote, [200.0, 683.0, 106.0, 18.0], Ao0Ce5eNfJ, 5652480]
