[842, 596]
[paragraph, [63.0, 55.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 73.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 91.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 109.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 127.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 145.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [63.0, 163.0, 499.0, 18.0], shoonya_1s19KGMULBI8ZD, 5658016]
[paragraph, [55.0, 200.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 218.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 236.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 254.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 272.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 290.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 308.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[paragraph, [55.0, 326.0, 516.0, 18.0], shoonya_0sPGRJHJ9JS5NN, 5658016]
[ordered-list, [64.0, 403.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 421.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 439.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 457.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 475.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 493.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 511.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 529.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 547.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 565.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 583.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 601.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 619.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 637.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 655.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 673.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 691.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 709.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[ordered-list, [64.0, 727.0, 473.0, 18.0], shoonya_2s2LOVWJRMBMOK, 5658016]
[sub-ordered-list, [73.0, 425.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 443.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 461.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 479.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 497.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 515.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 533.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 551.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 569.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 587.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 605.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 623.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 641.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 659.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 677.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 695.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[sub-ordered-list, [73.0, 713.0, 450.0, 18.0], shoonya_3sMJOS7V76K68P, 5658016]
[footnote, [77.0, 779.0, 471.0, 18.0], WJD0GMyyX3, 5658016]
