[2339, 1656]
[paragraph, [187.0, 192.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 228.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 264.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 300.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 336.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 372.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 408.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 444.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 480.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 516.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 552.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 588.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 624.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 660.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 696.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 732.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 768.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 804.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [187.0, 840.0, 1281.0, 36.0], shoonya_0s1UQIP605IA7F, 5730800]
[paragraph, [180.0, 898.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 934.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 970.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1006.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1042.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1078.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1114.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1150.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1186.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1222.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1258.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1294.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1330.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1366.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1402.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1438.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1474.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1510.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1546.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1582.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1618.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1654.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1690.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1726.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1762.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1798.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1834.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1870.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1906.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1942.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 1978.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
[paragraph, [180.0, 2014.0, 1297.0, 36.0], shoonya_1sJVOEVBSIICKX, 5730800]
