[755, 564]
[folio, [469.0, 24.0, 55.0, 18.0], yX0uf6YovY, 5752276]
[headline, [44.0, 64.0, 217.0, 25.5], shoonya_0s9AENMSWINVGV, 5752276]
[headline, [44.0, 89.5, 217.0, 25.5], shoonya_0s9AENMSWINVGV, 5752276]
[paragraph, [45.0, 145.0, 129.0, 18.0], H7WNkdruVA, 5752276]
[paragraph, [45.0, 163.0, 129.0, 18.0], H7WNkdruVA, 5752276]
[paragraph, [45.0, 181.0, 129.0, 18.0], H7WNkdruVA, 5752276]
[paragraph, [45.0, 199.0, 129.0, 18.0], H7WNkdruVA, 5752276]
[paragraph, [178.0, 163.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 181.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 199.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 217.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 235.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 253.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 271.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 289.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 307.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 325.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 343.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 361.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [178.0, 379.0, 132.0, 18.0], NirFZwJ9Ll, 5752276]
[paragraph, [44.0, 246.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 264.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 282.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 300.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 318.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 336.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 354.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 372.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 390.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [44.0, 408.0, 130.0, 18.0], M5epBI-nXL, 5752276]
[paragraph, [179.0, 416.0, 131.0, 18.0], tsXNzQ5cW_, 5752276]
[paragraph, [179.0, 434.0, 131.0, 18.0], tsXNzQ5cW_, 5752276]
[paragraph, [179.0, 452.0, 131.0, 18.0], tsXNzQ5cW_, 5752276]
[paragraph, [179.0, 470.0, 131.0, 18.0], tsXNzQ5cW_, 5752276]
[paragraph, [179.0, 488.0, 131.0, 18.0], tsXNzQ5cW_, 5752276]
[paragraph, [46.0, 458.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 476.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 494.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 512.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 530.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 548.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 566.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 584.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 602.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 620.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 638.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [46.0, 656.0, 132.0, 18.0], rcb-Bf-y6H, 5752276]
[paragraph, [179.0, 529.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 547.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 565.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 583.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 601.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 619.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 637.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 655.0, 131.0, 18.0], MSmM70lCEP, 5752276]
[paragraph, [179.0, 673.0, 131.0, 18.0], MSmM70lCEP, 5752276]
