[792, 612]
[folio, [65.0, 32.0, 57.0, 18.0], dPAbqzo9Cf, 6516780]
[paragraph, [58.0, 85.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 103.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 121.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 139.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 157.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 175.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [58.0, 193.0, 162.0, 18.0], s44CpxDbmq, 6516780]
[paragraph, [56.0, 219.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 237.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 255.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 273.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 291.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 309.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 327.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 345.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[paragraph, [56.0, 363.0, 163.0, 18.0], 8GviPT3OVy, 6516780]
[sidebar, [226.0, 372.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[sidebar, [226.0, 390.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[sidebar, [226.0, 408.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[sidebar, [226.0, 426.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[sidebar, [226.0, 444.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[sidebar, [226.0, 462.0, 334.0, 18.0], v3bCWrHolK, 6516780]
[paragraph, [55.0, 386.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 404.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 422.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 440.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 458.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 476.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
[paragraph, [55.0, 494.0, 164.0, 18.0], lNBb3I2WRK, 6516780]
