[2200, 1700]
[paragraph, [317.0, 86.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [317.0, 122.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [317.0, 158.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [317.0, 194.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [317.0, 230.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [317.0, 266.0, 1077.0, 36.0], shoonya_5sCEIYJAB7R9WX, 5731043]
[paragraph, [309.0, 318.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 354.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 390.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 426.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 462.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 498.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 534.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 570.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 606.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 642.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 678.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 714.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 750.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 786.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 822.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 858.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 894.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 930.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 966.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 1002.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 1038.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 1074.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [309.0, 1110.0, 1079.0, 36.0], shoonya_1sDAECB0J3NLJ9, 5731043]
[paragraph, [303.0, 1182.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1218.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1254.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1290.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1326.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1362.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1398.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [303.0, 1434.0, 1081.0, 36.0], shoonya_2sHBZY57M0LL7L, 5731043]
[paragraph, [301.0, 1484.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1520.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1556.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1592.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1628.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1664.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1700.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1736.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1772.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [301.0, 1808.0, 1083.0, 36.0], shoonya_0sK31QTF3AKSZH, 5731043]
[paragraph, [414.0, 1878.0, 963.0, 36.0], shoonya_3s7ZUUWLF74VZX, 5731043]
[folio, [895.0, 2013.0, 382.0, 36.0], rjdY2J-yWq, 5731043]
[folio, [895.0, 2049.0, 382.0, 36.0], rjdY2J-yWq, 5731043]
