[709, 412]
[folio, [189.0, 35.0, 42.0, 18.0], ncPWND0AXP, 5741380]
[paragraph, [28.0, 61.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 79.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 97.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 115.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 133.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 151.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 169.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 187.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 205.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 223.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 241.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 259.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 277.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 295.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 313.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 331.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 349.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 367.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 385.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 403.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 421.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 439.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 457.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 475.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 493.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 511.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 529.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [28.0, 547.0, 173.0, 18.0], CkccQKs0XI, 5741380]
[paragraph, [207.0, 129.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 147.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 165.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 183.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 201.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 219.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 237.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 255.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 273.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 291.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 309.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 327.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 345.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 363.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 381.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 399.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 417.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 435.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 453.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 471.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 489.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 507.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 525.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 543.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 561.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 579.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 597.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 615.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 633.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [207.0, 651.0, 176.0, 18.0], shoonya_0sSB4UITTXSSQ8, 5741380]
[paragraph, [26.0, 579.0, 175.0, 18.0], f-POl9luHq, 5741380]
[paragraph, [26.0, 597.0, 175.0, 18.0], f-POl9luHq, 5741380]
