[2717, 1772]
[folio, [767.0, 227.0, 207.0, 46.5], KAUwkvremv, 5721610]
[paragraph, [200.0, 344.0, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 390.5, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 437.0, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 483.5, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 530.0, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 576.5, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 623.0, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [200.0, 669.5, 1392.0, 46.5], shoonya_0sZCBWZCY4XM0I, 5721610]
[paragraph, [203.0, 763.0, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 809.5, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 856.0, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 902.5, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 949.0, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 995.5, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 1042.0, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [203.0, 1088.5, 1387.0, 46.5], WPOaMwpv1Y, 5721610]
[paragraph, [199.0, 1247.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1293.5, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1340.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1386.5, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1433.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1479.5, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1526.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1572.5, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1619.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1665.5, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [199.0, 1712.0, 1382.0, 46.5], jKWvXqSFdt, 5721610]
[paragraph, [201.0, 1789.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 1835.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 1882.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 1928.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 1975.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2021.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2068.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2114.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2161.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2207.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2254.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2300.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2347.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2393.5, 1376.0, 46.5], 66HBAjwFIU, 5721610]
[paragraph, [201.0, 2440.0, 1376.0, 46.5], 66HBAjwFIU, 5721610]
