[1650, 1050]
[paragraph, [92.0, 121.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 157.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 193.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 229.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 265.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 301.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 337.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 373.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 409.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [92.0, 445.0, 834.0, 36.0], shoonya_1sMYEFIIBJOVRB, 5731871]
[paragraph, [83.0, 635.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 671.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 707.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 743.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 779.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 815.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 851.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 887.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 923.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 959.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 995.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 1031.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 1067.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 1103.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[paragraph, [83.0, 1139.0, 835.0, 36.0], shoonya_0sI6SW790NX1U7, 5731871]
[folio, [397.0, 1516.0, 119.0, 36.0], shoonya_2s9129YRMNWFEZ, 5731871]
