[1755, 1240]
[paragraph, [183.0, 133.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 169.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 205.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 241.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 277.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 313.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 349.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 385.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 421.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 457.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 493.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 529.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 565.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 601.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 637.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 673.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 709.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 745.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 781.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 817.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 853.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 889.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 925.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 961.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 997.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1033.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1069.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1105.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1141.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1177.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1213.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1249.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1285.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1321.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1357.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1393.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1429.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1465.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
[paragraph, [183.0, 1501.0, 931.0, 36.0], shoonya_0sWPRGLUIDRQZQ, 5693064]
