[2806, 1983]
[folio, [220.0, 235.0, 547.0, 46.5], MgiTIxUbIp, 5682228]
[folio, [220.0, 281.5, 547.0, 46.5], MgiTIxUbIp, 5682228]
[paragraph, [217.0, 453.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 499.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 546.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 592.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 639.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 685.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 732.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 778.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 825.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 871.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 918.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 964.5, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [217.0, 1011.0, 1550.0, 46.5], shoonya_0sY3KPA5VFAP3D, 5682228]
[paragraph, [210.0, 1145.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1191.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1238.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1284.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1331.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1377.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1424.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1470.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1517.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1563.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1610.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1656.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1703.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1749.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1796.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1842.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1889.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1935.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 1982.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2028.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2075.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2121.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2168.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2214.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2261.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2307.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2354.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2400.5, 1551.0, 46.5], Titg4yaqnt, 5682228]
[paragraph, [210.0, 2447.0, 1551.0, 46.5], Titg4yaqnt, 5682228]
