[2200, 1700]
[paragraph, [373.0, 111.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 147.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 183.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 219.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 255.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 291.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 327.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 363.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 399.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 435.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 471.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 507.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 543.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 579.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 615.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 651.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 687.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 723.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 759.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 795.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 831.0, 1132.0, 36.0], shoonya_0sDPS0XZZA0J1A, 5734303]
[paragraph, [373.0, 924.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 960.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 996.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1032.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1068.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1104.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1140.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1176.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1212.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1248.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1284.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1320.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1356.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1392.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1428.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1464.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1500.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1536.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1572.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1608.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1644.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1680.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1716.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1752.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1788.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1824.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1860.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1896.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
[paragraph, [373.0, 1932.0, 1132.0, 36.0], shoonya_1sOQR1VXWOJ6P8, 5734303]
