[1518, 1075]
[paragraph, [557.0, 143.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 179.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 215.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 251.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 287.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 323.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [557.0, 359.0, 428.0, 36.0], shoonya_2sKTV4YYF6H8O9, 5722263]
[paragraph, [115.0, 151.0, 424.0, 36.0], shoonya_4sV029LNXKNRDG, 5722263]
[paragraph, [115.0, 187.0, 424.0, 36.0], shoonya_4sV029LNXKNRDG, 5722263]
[paragraph, [115.0, 223.0, 424.0, 36.0], shoonya_4sV029LNXKNRDG, 5722263]
[paragraph, [115.0, 259.0, 424.0, 36.0], shoonya_4sV029LNXKNRDG, 5722263]
[paragraph, [115.0, 307.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 343.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 379.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 415.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 451.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 487.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 523.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [115.0, 559.0, 424.0, 36.0], shoonya_0s21HDLK4N27HL, 5722263]
[paragraph, [556.0, 414.0, 428.0, 36.0], shoonya_3sHMZ1P63C40GZ, 5722263]
[paragraph, [556.0, 450.0, 428.0, 36.0], shoonya_3sHMZ1P63C40GZ, 5722263]
[paragraph, [556.0, 486.0, 428.0, 36.0], shoonya_3sHMZ1P63C40GZ, 5722263]
[paragraph, [556.0, 522.0, 428.0, 36.0], shoonya_3sHMZ1P63C40GZ, 5722263]
[paragraph, [556.0, 577.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 613.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 649.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 685.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 721.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 757.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [556.0, 793.0, 429.0, 36.0], shoonya_6sTW5EXQ2HMFQ7, 5722263]
[paragraph, [115.0, 600.0, 423.0, 36.0], shoonya_1sQ99FMG6RTIGG, 5722263]
[paragraph, [115.0, 636.0, 423.0, 36.0], shoonya_1sQ99FMG6RTIGG, 5722263]
[paragraph, [115.0, 672.0, 423.0, 36.0], shoonya_1sQ99FMG6RTIGG, 5722263]
[paragraph, [115.0, 708.0, 423.0, 36.0], shoonya_1sQ99FMG6RTIGG, 5722263]
[paragraph, [115.0, 744.0, 423.0, 36.0], shoonya_1sQ99FMG6RTIGG, 5722263]
[paragraph, [118.0, 788.0, 422.0, 36.0], shoonya_7s50R3TQPS1DPA, 5722263]
[paragraph, [130.0, 900.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 936.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 972.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1008.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1044.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1080.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1116.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1152.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1188.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[paragraph, [130.0, 1224.0, 839.0, 36.0], shoonya_5sQMQU3ANY5PXR, 5722263]
[folio, [263.0, 1344.0, 584.0, 36.0], OiJYha8p-6, 5722263]
[folio, [197.0, 1391.0, 298.0, 36.0], iKZsfvoB8f, 5722263]
