[1034, 680]
[folio, [231.0, 65.0, 208.0, 18.0], shoonya_0s3I9EXYGLJHI5, 5740267]
[folio, [231.0, 83.0, 208.0, 18.0], shoonya_0s3I9EXYGLJHI5, 5740267]
[paragraph, [68.0, 115.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [68.0, 133.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [68.0, 151.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [68.0, 169.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [68.0, 187.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [68.0, 205.0, 551.0, 18.0], 8NlzIaK43Q, 5740267]
[paragraph, [67.0, 230.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 248.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 266.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 284.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 302.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 320.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 338.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 356.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 374.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 392.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 410.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 428.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 446.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 464.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 482.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 500.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 518.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 536.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 554.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 572.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 590.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 608.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 626.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 644.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 662.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 680.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 698.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 716.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 734.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 752.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 770.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 788.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 806.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 824.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 842.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [67.0, 860.0, 550.0, 18.0], pk6w2aaBUz, 5740267]
[paragraph, [62.0, 893.0, 552.0, 18.0], p4oQ5HDUC7, 5740267]
[paragraph, [62.0, 911.0, 552.0, 18.0], p4oQ5HDUC7, 5740267]
[paragraph, [62.0, 929.0, 552.0, 18.0], p4oQ5HDUC7, 5740267]
[paragraph, [62.0, 947.0, 552.0, 18.0], p4oQ5HDUC7, 5740267]
