[1191, 842]
[chapter-title, [272.0, 75.0, 291.0, 30.0], shoonya_4sQK2OKY5VW7DD, 5656198]
[headline, [118.0, 128.0, 580.0, 25.5], shoonya_7sA5VP6028TLKK, 5656198]
[sub-headline, [161.0, 203.0, 534.0, 25.5], shoonya_11sPLTTHSBM1JC, 5656198]
[author, [298.0, 268.0, 243.0, 18.0], 15KhZMvIxd, 5656198]
[author, [298.0, 286.0, 243.0, 18.0], 15KhZMvIxd, 5656198]
[contact-info, [262.0, 308.0, 310.0, 18.0], x01FixMqmm, 5656198]
[paragraph, [341.0, 355.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 373.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 391.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 409.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 427.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 445.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 463.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 481.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 499.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 517.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 535.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[paragraph, [341.0, 553.0, 266.0, 18.0], shoonya_1sQ0RAWG32MZ81, 5656198]
[author, [92.0, 360.0, 185.0, 18.0], lM9cd-a7iO, 5656198]
[author, [92.0, 378.0, 185.0, 18.0], lM9cd-a7iO, 5656198]
[author, [92.0, 396.0, 185.0, 18.0], lM9cd-a7iO, 5656198]
[contact-info, [108.0, 418.0, 142.0, 18.0], TMmWVuUqZ8, 5656198]
[author, [81.0, 466.0, 202.0, 18.0], iYnwLjEveu, 5656198]
[author, [81.0, 484.0, 202.0, 18.0], iYnwLjEveu, 5656198]
[contact-info, [76.0, 519.0, 224.0, 18.0], NxPJXqYig0, 5656198]
[contact-info, [76.0, 537.0, 224.0, 18.0], NxPJXqYig0, 5656198]
[contact-info, [76.0, 555.0, 224.0, 18.0], NxPJXqYig0, 5656198]
[figure-caption, [624.0, 546.0, 149.0, 18.0], shoonya_5sXNJTTAUT9VUL, 5656198]
[contact-info, [73.0, 586.0, 229.0, 18.0], addHz9ZN6f, 5656198]
[contact-info, [73.0, 604.0, 229.0, 18.0], addHz9ZN6f, 5656198]
[contact-info, [73.0, 622.0, 229.0, 18.0], addHz9ZN6f, 5656198]
[paragraph, [343.0, 588.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 606.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 624.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 642.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 660.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 678.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [343.0, 696.0, 434.0, 18.0], shoonya_0s5PYSN2YCVDVR, 5656198]
[paragraph, [57.0, 767.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 785.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 803.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 821.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 839.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 857.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 875.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 893.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[paragraph, [57.0, 911.0, 725.0, 18.0], shoonya_3s9ECQ6ZR5U469, 5656198]
[footnote, [140.0, 1054.0, 562.0, 18.0], yCHCJYnuuu, 5656198]
[footnote, [140.0, 1072.0, 562.0, 18.0], yCHCJYnuuu, 5656198]
[folio, [359.0, 1091.0, 115.0, 18.0], CkXsl6kLBY, 5656198]
[contact-info, [259.0, 1114.0, 311.0, 18.0], shoonya_10sNUG8ZV3CRJX, 5656198]
