[1818, 1374]
[folio, [633.0, 187.0, 104.0, 36.0], shoonya_0sY2QF7O9VFIT7, 5682784]
[paragraph, [104.0, 278.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 314.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 350.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 386.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 422.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 458.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 494.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 530.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 566.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [104.0, 602.0, 571.0, 36.0], shoonya_3s99KNRI2KRLAX, 5682784]
[paragraph, [695.0, 279.0, 568.0, 36.0], -yyYjGZ4E9, 5682784]
[paragraph, [695.0, 315.0, 568.0, 36.0], -yyYjGZ4E9, 5682784]
[paragraph, [695.0, 367.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 403.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 439.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 475.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 511.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 547.0, 568.0, 36.0], e0ISNxXOnM, 5682784]
[paragraph, [695.0, 621.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 657.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 693.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 729.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 765.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 801.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 837.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [695.0, 873.0, 566.0, 36.0], p4O3QG54Ff, 5682784]
[paragraph, [103.0, 670.0, 572.0, 36.0], shoonya_4sY3JEMKWPROLT, 5682784]
[paragraph, [103.0, 706.0, 572.0, 36.0], shoonya_4sY3JEMKWPROLT, 5682784]
[paragraph, [162.0, 749.0, 263.0, 36.0], shoonya_5sLBZ47CZK4GIC, 5682784]
[paragraph, [105.0, 787.0, 571.0, 36.0], shoonya_6sDAWT1NJMHJQN, 5682784]
[paragraph, [105.0, 823.0, 571.0, 36.0], shoonya_6sDAWT1NJMHJQN, 5682784]
[paragraph, [105.0, 859.0, 571.0, 36.0], shoonya_6sDAWT1NJMHJQN, 5682784]
[paragraph, [108.0, 907.0, 562.0, 36.0], shoonya_7s8FC0VP1DOWSM, 5682784]
[paragraph, [108.0, 943.0, 562.0, 36.0], shoonya_7s8FC0VP1DOWSM, 5682784]
[paragraph, [108.0, 979.0, 562.0, 36.0], shoonya_7s8FC0VP1DOWSM, 5682784]
[paragraph, [692.0, 916.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 952.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 988.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1024.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1060.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1096.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1132.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1168.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1204.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1240.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1276.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1312.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1348.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1384.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1420.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1456.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [692.0, 1492.0, 575.0, 36.0], JJpGnKGQZ1, 5682784]
[paragraph, [173.0, 1030.0, 380.0, 36.0], shoonya_10sQ595ILI6X29, 5682784]
[paragraph, [171.0, 1031.0, 383.0, 36.0], shoonya_8s65ML3YI7F4IU, 5682784]
[paragraph, [109.0, 1069.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1105.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1141.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1177.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1213.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1249.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1285.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1321.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1357.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1393.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1429.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1465.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1501.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1537.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [109.0, 1573.0, 564.0, 36.0], mVx0k_r-Tp, 5682784]
[paragraph, [752.0, 1553.0, 408.0, 36.0], mH3sJEwrSs, 5682784]
[paragraph, [693.0, 1594.0, 578.0, 36.0], lCiAhoFYqe, 5682784]
[paragraph, [693.0, 1630.0, 578.0, 36.0], lCiAhoFYqe, 5682784]
[paragraph, [693.0, 1666.0, 578.0, 36.0], lCiAhoFYqe, 5682784]
[paragraph, [108.0, 1640.0, 568.0, 36.0], rywccQucX3, 5682784]
[paragraph, [108.0, 1676.0, 568.0, 36.0], rywccQucX3, 5682784]
