[978, 575]
[chapter-title, [141.0, 28.0, 282.0, 30.0], QI9oDnJKX7, 5775793]
[paragraph, [21.0, 65.0, 525.0, 18.0], shoonya_4sWXZZPT5R2YKR, 5775793]
[paragraph, [21.0, 83.0, 525.0, 18.0], shoonya_4sWXZZPT5R2YKR, 5775793]
[paragraph, [21.0, 101.0, 525.0, 18.0], shoonya_4sWXZZPT5R2YKR, 5775793]
[paragraph, [21.0, 119.0, 525.0, 18.0], shoonya_4sWXZZPT5R2YKR, 5775793]
[paragraph, [21.0, 137.0, 525.0, 18.0], shoonya_4sWXZZPT5R2YKR, 5775793]
[paragraph, [23.0, 166.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 184.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 202.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 220.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 238.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 256.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [23.0, 274.0, 522.0, 18.0], shoonya_2sULXAVNEL4ZFU, 5775793]
[paragraph, [24.0, 302.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 320.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 338.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 356.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 374.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 392.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 410.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 428.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 446.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [24.0, 464.0, 518.0, 18.0], shoonya_1sSG54UFT7K29N, 5775793]
[paragraph, [27.0, 494.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 512.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 530.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 548.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 566.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 584.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 602.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 620.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 638.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 656.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 674.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 692.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 710.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 728.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [27.0, 746.0, 515.0, 18.0], shoonya_0sTDCN4LRQIFI1, 5775793]
[paragraph, [30.0, 781.0, 511.0, 18.0], shoonya_3sVPPVWE340LXB, 5775793]
[paragraph, [30.0, 799.0, 511.0, 18.0], shoonya_3sVPPVWE340LXB, 5775793]
[paragraph, [30.0, 817.0, 511.0, 18.0], shoonya_3sVPPVWE340LXB, 5775793]
