[2200, 1700]
[paragraph, [373.0, 110.0, 1133.0, 36.0], MTK34q4TYE, 5734049]
[paragraph, [373.0, 146.0, 1133.0, 36.0], MTK34q4TYE, 5734049]
[paragraph, [373.0, 182.0, 1133.0, 36.0], MTK34q4TYE, 5734049]
[paragraph, [376.0, 230.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 266.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 302.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 338.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 374.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 410.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 446.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 482.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 518.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 554.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 590.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 626.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 662.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 698.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [376.0, 734.0, 1127.0, 36.0], shoonya_0s8IZ7WD5HZD7T, 5734049]
[paragraph, [371.0, 780.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 816.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 852.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 888.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 924.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 960.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 996.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1032.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1068.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1104.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1140.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1176.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [371.0, 1212.0, 1132.0, 36.0], shoonya_2sFSAWYDRQTRXQ, 5734049]
[paragraph, [374.0, 1306.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1342.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1378.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1414.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1450.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1486.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1522.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1558.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1594.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1630.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1666.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1702.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1738.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1774.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[paragraph, [374.0, 1810.0, 1130.0, 36.0], shoonya_1sU27TFC5GX9KC, 5734049]
[section-title, [360.0, 1877.0, 925.0, 52.5], DW3TC1y2Tq, 5734049]
[unordered-list, [422.0, 1943.0, 1090.0, 36.0], 3Gvh3b8E7M, 5734049]
[unordered-list, [422.0, 1979.0, 1090.0, 36.0], 3Gvh3b8E7M, 5734049]
