[1447, 1063]
[sidebar, [680.0, 98.0, 287.0, 18.0], _gW0MBn5OT, 5762627]
[sidebar, [680.0, 116.0, 287.0, 18.0], _gW0MBn5OT, 5762627]
[section-title, [120.0, 334.0, 386.0, 30.0], 0j5951mxsJ, 5762627]
[paragraph, [88.0, 376.0, 885.0, 18.0], shoonya_1sBKF1V0FH9337, 5762627]
[paragraph, [88.0, 394.0, 885.0, 18.0], shoonya_1sBKF1V0FH9337, 5762627]
[paragraph, [88.0, 412.0, 885.0, 18.0], shoonya_1sBKF1V0FH9337, 5762627]
[paragraph, [91.0, 445.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 463.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 481.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 499.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 517.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 535.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 553.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [91.0, 571.0, 878.0, 18.0], H2VrKE_zyx, 5762627]
[paragraph, [87.0, 611.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 629.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 647.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 665.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 683.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 701.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 719.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 737.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 755.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 773.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 791.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [87.0, 809.0, 880.0, 18.0], YBXnQ66dme, 5762627]
[paragraph, [86.0, 825.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 843.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 861.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 879.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 897.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 915.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [86.0, 933.0, 884.0, 18.0], I1scVpBY5k, 5762627]
[paragraph, [90.0, 960.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [90.0, 978.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [90.0, 996.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [90.0, 1014.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [90.0, 1032.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [90.0, 1050.0, 880.0, 18.0], 7ZyD1nnR4d, 5762627]
[paragraph, [124.0, 1086.0, 648.0, 18.0], C_cL02NWIG, 5762627]
[paragraph, [124.0, 1104.0, 648.0, 18.0], C_cL02NWIG, 5762627]
[folio, [425.0, 1130.0, 248.0, 18.0], YICpYV-DmP, 5762627]
[contact-info, [569.0, 1199.0, 407.0, 18.0], shoonya_2sCIQLMN40ZOU8, 5762627]
[contact-info, [569.0, 1217.0, 407.0, 18.0], shoonya_2sCIQLMN40ZOU8, 5762627]
[contact-info, [569.0, 1235.0, 407.0, 18.0], shoonya_2sCIQLMN40ZOU8, 5762627]
[contact-info, [569.0, 1253.0, 407.0, 18.0], shoonya_2sCIQLMN40ZOU8, 5762627]
[contact-info, [569.0, 1271.0, 407.0, 18.0], shoonya_2sCIQLMN40ZOU8, 5762627]
