[595, 401]
[folio, [52.0, 45.0, 125.0, 18.0], kvBzmePLZO, 5711300]
[paragraph, [57.0, 79.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 97.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 115.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 133.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 151.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 169.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 187.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 205.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [57.0, 223.0, 296.0, 18.0], OYcHwPdCu3, 5711300]
[paragraph, [101.0, 243.0, 177.0, 18.0], zTk7pShcgk, 5711300]
[paragraph, [101.0, 261.0, 177.0, 18.0], zTk7pShcgk, 5711300]
[paragraph, [101.0, 279.0, 177.0, 18.0], zTk7pShcgk, 5711300]
[paragraph, [107.0, 337.0, 170.0, 18.0], lfKFkBVw3t, 5711300]
[paragraph, [107.0, 355.0, 170.0, 18.0], lfKFkBVw3t, 5711300]
[paragraph, [107.0, 373.0, 170.0, 18.0], lfKFkBVw3t, 5711300]
[paragraph, [37.0, 416.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 434.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 452.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 470.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 488.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 506.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
[paragraph, [37.0, 524.0, 324.0, 18.0], 2eB2GEJr3u, 5711300]
